year,spp,experiment,replicate,drainage,stream,block,channel,guppy.phenotype,density,structure,light,guppy.freq,riv.pheno,riv.density,riv.size.structure,treatment,color.combo,initial.fish,analysis.use,analysis.use.old,survival,days,date.marked,date.in,date.out,date.died,died.early,removed.early,initial.length,initial.total.length,initial.mass,recap.mass,final.length,recap.length,dissection.length,recap.total.length,dissection.mass,wet.mass.no.ovary.gi,gi.mass,gi.length,initial.sex,final.sex,pregnant,num.embryos,num.imm.eggs,num.imm.eggs.old,stage,wt.mat,wt.imm,somatic.dry.mass,repro.tissue.dry.mass,embryo.dry.mass,embryo.lean.mass,immature.dry,number.regressors,regressor.dry.mass,somatic.lean.mass,off.mass,off.length,num.broods,initial.comments,final.comments,other.comments,marking.group,marked.by,dissection.mark
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,10.07,10.07,NA,0.021,0.018,0.001,7.1,NA,F,NA,NA,NA,NA,NA,,,0.0034,NA,NA,NA,,NA,NA,0.00324,NA,NA,NA,NA,"damaged, difficult to determine sex",NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27,10.27,10.27,NA,0.022,0.018,0.001,8,NA,F,NA,NA,NA,NA,NA,,,0.0035,NA,NA,NA,,NA,NA,0.00333,NA,NA,NA,NA,extremely damaged,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,10.53,10.53,NA,0.025,0.021,0.002,7.6,NA,F,NA,NA,NA,NA,NA,,,0.0037,NA,NA,NA,,NA,NA,0.00354,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48,10.48,10.48,NA,0.023,0.019,0.001,9.2,NA,F,NA,NA,NA,NA,NA,,,0.0037,NA,NA,NA,,NA,NA,0.00358,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.96,10.96,10.96,NA,0.027,0.023,0.002,9.3,NA,F,NA,NA,NA,NA,NA,,,0.0042,NA,NA,NA,,NA,NA,0.00403,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.97,10.97,10.97,NA,0.027,0.023,0.001,8.1,NA,F,NA,NA,NA,NA,NA,,,0.0045,NA,NA,NA,,NA,NA,0.00425,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39,11.39,11.39,NA,0.029,0.026,0.001,7.3,NA,F,NA,NA,NA,NA,NA,,,0.0048,NA,NA,NA,,NA,NA,0.00458,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,11.25,11.25,NA,0.029,0.025,0.002,7.1,NA,F,NA,NA,NA,NA,NA,,,0.0048,NA,NA,NA,,NA,NA,0.00462,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,10.52,10.52,NA,0.033,0.027,0.002,10.5,NA,F,NA,NA,NA,NA,NA,,,0.0053,NA,NA,NA,,NA,NA,0.00508,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,11.4,11.4,NA,0.031,0.026,0.002,10,NA,I,NA,NA,NA,NA,NA,,,0.0049,NA,NA,NA,,NA,NA,0.00475,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,UN10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.11,12.11,12.11,NA,0.037,0.032,0.003,12.9,NA,I,NA,NA,NA,NA,NA,,,0.0061,NA,NA,NA,,NA,NA,0.00579,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.9,6.9,NA,0.005,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0009,NA,NA,NA,,NA,NA,0.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.18,7.18,NA,0.006,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0011,NA,NA,NA,,NA,NA,0.00093,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38,7.38,7.38,NA,0.006,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0011,NA,NA,NA,,NA,NA,0.00099,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,7.95,7.95,NA,0.009,0.006,0.001,4.9,NA,U,NA,NA,NA,NA,NA,,,0.0013,NA,NA,NA,,NA,NA,0.00129,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,7.62,7.62,NA,0.008,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0013,NA,NA,NA,,NA,NA,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,7.98,7.98,NA,0.008,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0014,NA,NA,NA,,NA,NA,0.00135,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53,8.53,8.53,NA,0.011,0.009,0,5.9,NA,U,NA,NA,NA,NA,NA,,,0.0016,NA,NA,NA,,NA,NA,0.00158,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,8.34,8.34,NA,0.01,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0018,NA,NA,NA,,NA,NA,0.00171,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,8.41,8.41,NA,0.011,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0018,NA,NA,NA,,NA,NA,0.00174,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,8.12,8.12,NA,0.011,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0019,NA,NA,NA,,NA,NA,0.00178,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9.4,9.4,NA,0.016,0.013,0.001,6.4,NA,U,NA,NA,NA,NA,NA,,,0.0026,NA,NA,NA,,NA,NA,0.00248,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,9.17,9.17,NA,0.017,0.013,0.001,7.5,NA,U,NA,NA,NA,NA,NA,,,0.0026,NA,NA,NA,,NA,NA,0.00252,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,9.85,9.85,NA,0.016,0.013,0.001,6.6,NA,U,NA,NA,NA,NA,NA,,,0.0026,NA,NA,NA,,NA,NA,0.00252,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69,9.69,9.69,NA,0.018,0.015,0.001,8.1,NA,U,NA,NA,NA,NA,NA,,,0.003,NA,NA,NA,,NA,NA,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93,9.93,9.93,NA,0.017,0.014,0.001,6.5,NA,U,NA,NA,NA,NA,NA,,,0.0029,NA,NA,NA,,NA,NA,0.00281,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,9.75,9.75,NA,0.02,0.016,0.002,9.3,NA,U,NA,NA,NA,NA,NA,,,0.0031,NA,NA,NA,,NA,NA,0.00291,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,9.74,9.74,NA,0.016,0.014,0.001,7.1,NA,U,NA,NA,NA,NA,NA,,,0.0031,NA,NA,NA,,NA,NA,0.00292,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,7.76,7.76,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,11.62,11.62,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,OY,1,1,1,1,28,NA,20/03/2008,17/04/2008,NA,NA,NA,11.3,NA,0.03,0.109,16.26,16.26,NA,NA,NA,NA,NA,NA,U,F,0,0,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,OR,1,1,1,1,28,NA,20/03/2008,17/04/2008,NA,NA,NA,15.3,NA,0.076,0.168,19.19,19.19,19.12,NA,0.168,0.116,0.017,21.2,F,F,1,6,NA,NA,15,,,0.0249,0.00057,0.00753,0.00668,,0,0,0.02442,NA,NA,1,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Aripo,Aripo,1,1,HP,12,med,High,HP,NA,0,NA,NA,RY,1,1,1,1,28,NA,20/03/2008,17/04/2008,NA,NA,NA,18.04,NA,0.153,0.239,20.95,20.95,21.49,NA,0.239,0.173,0.019,25.2,F,F,1,5,NA,NA,35,,,0.0403,0.00075,0.00696,0.00627,,0,0,0.03925,NA,NA,1,NA,NA,NA,NA,NA,NA
